ID,age,gender,Machiavellianism,Narcissism,Psychopathy,Extraversion,Agreeableness,Conscientiousness,EmotionStability
3,27,Female,19,23,19,34,46,30,25
54,24,Female,35,30,25,33,40,35,31
60,20,Female,29,15,21,18,44,37,18
63,20,Female,20,17,16,38,47,37,15
77,24,Female,20,22,16,35,49,38,38
79,28,Female,23,16,21,27,43,36,32
81,27,Female,19,21,16,38,42,37,34
116,21,Male,20,18,22,27,43,32,37
122,24,Female,16,15,12,37,48,40,42
126,22,Female,16,26,14,42,47,46,42
130,24,Female,24,24,12,32,45,44,37
150,25,Female,32,33,18,35,30,42,33
166,24,Female,26,21,15,26,35,39,28
169,21,Female,34,22,21,29,37,30,26
174,26,Male,37,27,21,21,35,40,40
177,24,Female,24,16,14,37,41,43,32
179,28,Male,24,30,30,37,39,35,35
192,25,Male,27,22,18,28,37,30,40
197,26,Female,35,31,16,35,38,41,18
206,25,Male,34,35,25,38,30,26,22
211,28,Female,33,21,17,30,42,36,26
214,19,Female,29,28,22,38,40,33,18
218,23,Female,32,26,18,35,42,29,30
231,21,Male,27,33,25,45,42,29,40
252,22,Male,19,19,18,26,42,34,28
253,22,Female,25,29,18,34,35,39,30
257,24,Female,28,21,23,21,29,31,34
267,23,Female,18,22,15,43,44,39,37
270,18,Male,17,27,13,30,49,44,26
277,28,Female,26,17,20,21,35,25,10
282,30,Female,21,24,16,29,40,38,30
289,24,Female,30,22,20,34,45,38,29
294,22,Male,30,23,24,30,42,38,33
305,21,Male,36,31,20,38,38,31,33
307,25,Male,23,29,24,38,43,36,45
321,23,Female,32,34,17,44,44,42,29
323,22,Female,17,17,13,41,49,43,16
326,25,Female,25,19,15,30,42,40,27
332,24,Female,27,25,23,38,43,35,25
333,22,Female,24,26,18,29,38,28,35
339,17,Male,38,37,29,50,40,31,21
346,25,Female,23,21,12,29,47,32,27
351,26,Male,27,20,18,17,30,30,35
363,19,Female,23,21,10,20,39,39,37
372,20,Female,23,19,17,23,34,30,29
373,20,Female,26,16,18,16,44,38,40
376,24,Female,20,20,18,32,47,33,21
381,28,Male,34,30,22,42,48,45,40
393,23,Male,27,34,27,39,38,30,32
394,23,Male,31,37,15,50,50,45,46
402,22,Female,36,37,27,40,36,42,44
404,24,Female,28,27,28,33,37,31,31
410,26,Female,24,27,21,46,46,25,27
412,19,Female,22,12,14,19,44,26,12
414,21,Male,30,28,23,23,37,31,24
420,25,Female,23,16,14,24,41,39,46
424,23,Female,25,26,23,32,34,34,31
425,21,Female,31,29,23,42,42,40,31
429,23,Female,13,10,12,22,46,34,16
430,25,Female,27,30,23,34,38,36,29
431,26,Female,32,12,15,15,39,34,21
433,23,Female,25,16,15,27,45,38,19
440,24,Female,26,23,19,30,42,32,26
448,21,Female,26,27,17,37,43,49,25
452,20,Female,29,27,23,34,43,32,36
459,26,Female,25,18,17,32,40,25,40
460,25,Female,33,29,21,29,41,42,37
462,20,Female,32,24,22,29,44,36,31
466,19,Female,33,24,14,31,43,46,36
470,24,Female,25,27,15,42,40,39,40
473,21,Female,27,25,21,39,38,35,28
474,22,Female,25,16,17,29,42,44,27
484,20,Female,39,32,27,39,30,32,22
485,22,Female,19,25,19,33,43,34,33
486,24,Female,29,19,15,14,35,34,19
495,23,Female,18,11,16,25,46,34,25
503,23,Female,19,23,15,35,47,35,41
505,24,Female,28,33,15,31,42,40,30
509,22,Female,26,23,22,35,36,35,31
517,24,Female,17,19,14,28,41,38,17
518,23,Female,28,26,23,28,48,38,33
525,22,Female,22,21,23,39,46,36,34
529,25,Female,25,20,17,25,43,41,22
543,19,Female,25,16,20,30,34,31,27
544,19,Female,27,26,19,32,42,29,19
553,22,Female,10,14,12,35,49,40,31
556,20,Female,38,27,26,31,39,36,43
564,23,Female,22,16,18,19,25,26,25
566,25,Female,17,16,10,27,43,35,43
576,21,Female,31,15,18,27,37,30,45
577,22,Female,19,19,11,30,40,34,37
582,22,Female,15,23,13,42,46,36,28
584,27,Male,29,22,19,32,37,33,37
596,18,Female,24,24,20,26,41,35,29
600,25,Female,31,14,13,13,41,45,24
602,20,Female,25,23,23,30,39,30,29
610,18,Female,28,33,26,31,39,41,39
615,25,Female,27,22,28,28,42,34,14
616,20,Female,28,25,17,29,37,34,32
620,18,Female,24,25,21,27,27,31,18
622,22,Female,18,33,20,43,44,42,47
624,19,Female,27,24,17,32,40,33,24
625,21,Female,21,22,22,30,41,34,38
629,21,Female,25,26,24,34,35,38,36
632,21,Female,37,31,22,38,38,41,26
635,21,Female,18,17,15,22,49,36,44
636,21,Female,31,22,17,24,36,35,24
639,25,Female,32,27,29,10,14,35,20
645,22,Male,31,28,22,30,35,34,39
653,19,Male,27,24,27,24,41,41,21
654,32,Female,35,29,28,30,38,36,24
655,17,Male,30,25,14,46,43,38,33
665,19,Female,31,22,20,18,38,44,30
668,21,Female,37,24,31,26,36,34,11
670,17,Male,38,35,36,25,30,26,36
677,19,Female,20,18,15,13,31,30,26
685,34,Female,30,19,22,29,38,35,33
703,20,Female,30,30,27,25,44,40,30
713,26,Female,30,29,17,36,36,31,35
715,20,Female,31,23,19,22,38,38,29
716,23,Female,21,23,16,21,42,42,38
722,16,Male,40,31,25,30,39,38,27
725,13,Female,30,22,23,18,32,32,29
735,44,Female,24,24,18,38,41,33,27
739,14,Female,26,18,22,34,35,35,29
743,17,Female,30,24,19,21,47,31,25
752,42,Male,43,45,39,22,27,42,24
762,24,Female,23,29,28,44,50,42,31
767,19,Female,30,31,32,42,32,27,24
777,22,Female,22,19,12,19,42,36,36
778,26,Female,22,26,20,33,46,45,32
780,25,Female,29,25,19,17,41,40,29
783,17,Female,25,22,20,30,40,30,34
786,17,Female,22,16,15,22,34,26,24
787,19,Female,36,26,26,26,27,36,23
788,16,Female,32,27,22,26,40,36,39
790,16,Male,16,23,15,33,42,31,34
791,20,Female,21,15,11,17,45,37,25
793,17,Female,22,16,11,32,40,32,33
801,18,Male,34,29,24,25,38,30,42
805,19,Female,20,23,17,42,45,39,32
808,17,Female,34,27,30,28,24,21,22
810,18,Female,27,30,23,42,36,30,28
813,27,Female,20,17,12,21,49,31,30
814,24,Female,28,25,30,36,46,39,40
815,17,Female,22,15,12,22,44,39,16
816,17,Male,29,17,18,19,34,32,39
822,16,Female,26,23,18,29,49,42,15
838,22,Female,28,24,14,21,46,38,33
841,23,Female,18,14,16,12,36,28,20
848,25,Female,27,11,18,33,32,24,16
850,21,Female,27,30,29,36,35,35,28
852,18,Male,32,27,27,28,36,32,33
858,20,Female,24,23,16,18,46,33,28
865,19,Female,28,27,24,29,40,31,37
871,19,Female,29,14,21,20,36,27,23
873,22,Female,24,17,18,14,39,36,21
876,17,Female,25,14,20,22,38,38,23
877,15,Female,13,16,10,19,40,38,25
883,15,Female,26,36,31,42,50,48,18
894,20,Male,14,18,13,30,50,35,26
897,21,Female,27,25,21,35,43,38,25
907,22,Female,22,20,12,16,47,36,19
908,21,Female,28,15,20,23,38,34,23
909,19,Male,26,21,19,36,29,26,43
910,17,Female,28,32,16,48,48,38,24
911,13,Female,31,34,34,40,35,30,36
920,27,Female,34,22,20,36,43,32,15
927,19,Female,28,27,24,29,40,31,37
936,24,Female,34,23,22,23,37,38,32
939,28,Female,23,24,22,22,33,30,26
940,16,Female,25,20,21,25,34,40,22
945,20,Male,28,28,17,45,41,40,42
953,27,Female,23,23,16,20,32,35,26
955,21,Male,28,25,18,30,36,37,23
958,25,Female,23,12,15,12,42,41,16
977,18,Male,26,20,22,25,35,33,36
980,22,Female,25,21,17,23,44,38,26
984,14,Male,30,27,29,28,34,28,17
16,27,Female,23,16,17,19,36,35,37
25,22,Female,33,24,18,34,43,44,25
29,27,Female,29,18,16,25,42,39,32
36,28,Female,17,17,15,22,38,37,34
42,26,Female,14,16,15,22,39,39,25
44,25,Female,20,19,13,36,42,37,37
49,23,Female,16,18,11,18,46,43,28
64,21,Female,26,21,25,22,34,36,32
69,24,Female,20,20,22,47,44,39,40
76,23,Female,23,21,19,25,40,42,22
80,22,Female,31,14,27,40,47,39,22
84,26,Female,22,11,14,26,46,42,28
95,25,Female,24,21,19,23,46,35,37
103,26,Female,31,25,14,25,41,33,27
113,22,Male,22,21,26,28,38,26,24
117,25,Female,22,16,13,41,43,43,31
128,21,Female,19,20,14,39,48,37,39
136,22,Male,37,27,24,33,38,37,34
142,22,Female,21,17,12,26,43,34,38
146,20,Female,15,20,10,40,49,39,34
152,23,Female,14,19,15,36,47,34,36
156,24,Female,14,17,14,40,46,46,28
158,21,Female,17,16,12,26,40,34,24
172,23,Male,19,23,16,29,39,35,36
181,20,Male,17,18,10,18,49,34,27
183,23,Female,25,17,13,18,35,29,21
185,23,Female,14,11,12,11,43,37,13
188,29,Female,24,9,13,11,42,47,11
189,23,Female,28,27,12,40,43,35,38
191,23,Male,24,19,16,22,32,33,38
193,27,Female,37,32,21,45,42,48,40
195,25,Female,11,13,12,22,43,32,26
209,25,Female,18,20,10,15,49,34,22
239,24,Female,18,23,19,30,46,36,34
249,24,Male,24,24,20,26,39,26,24
255,32,Male,26,25,18,37,46,33,32
256,28,Male,24,25,23,29,42,41,28
258,25,Female,36,17,18,15,30,35,18
260,18,Female,22,22,14,24,46,39,29
265,23,Female,31,28,16,21,33,33,21
283,21,Male,28,17,13,23,45,34,33
292,28,Female,35,33,17,37,33,31,37
293,24,Female,33,25,21,31,41,35,33
297,24,Female,18,17,21,40,41,34,32
301,28,Female,25,23,16,24,39,34,30
302,28,Female,23,24,22,37,45,38,20
306,19,Female,22,26,10,38,42,32,38
309,26,Female,31,32,21,42,45,42,32
310,17,Female,35,21,11,21,38,33,29
